C,O,,,,,,,,,,,,,,,,
1,1,1,1,9,9,1,15,1,1,12,12,16,9,17,1,17,12
6,2,6,2,12,13,4,1,9,8,16,14,11,5,9,14,16,18
11,4,11,4,18,4,2,2,11,7,11,7,11,1,11,7,11,7
1,1,1,1,1,1,13,13,1,8,8,8,17,18,15,15,8,8
8,8,8,8,8,8,16,16,1,1,8,8,18,1,1,1,1,1
13,10,11,13,11,13,8,9,7,1,13,18,5,5,1,1,13,4
1,10,1,10,9,10,1,1,1,10,10,10,1,1,1,10,10,10
1,1,1,1,13,13,9,9,1,1,17,17,9,9,1,1,13,13
11,16,11,16,1,16,1,11,1,1,1,1,11,1,1,1,11,1
1,1,15,1,16,1,1,1,1,1,1,1,16,18,1,1,1,1
1,1,1,1,1,1,17,17,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1
1,1,1,1,1,1,13,13,1,1,1,1,13,13,1,1,17,17
6,6,6,6,6,15,1,1,3,6,4,15,6,6,4,6,15,15
16,3,16,3,16,15,3,8,6,9,7,9,1,1,12,12,12,9
1,1,8,1,8,1,1,8,8,8,8,8,1,1,8,8,8,8
9,9,9,9,9,9,15,15,1,1,1,1,17,17,1,1,1,1
1,16,1,16,11,16,1,1,10,12,1,12,1,1,1,12,1,12
15,9,2,9,2,2,2,2,16,9,16,9,9,1,16,2,2,9
11,10,11,14,11,14,7,9,8,1,14,18,5,5,1,1,14,4
1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,17
16,5,16,5,16,5,1,1,5,5,5,5,1,1,5,5,5,5
4,4,4,4,8,10,1,1,11,11,11,11,9,1,15,15,15,15
13,2,12,2,14,11,4,1,9,7,15,17,5,5,9,7,15,17
1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,1
1,10,1,10,10,10,1,1,1,10,10,10,1,1,1,10,1,10
1,1,1,1,1,1,1,1,9,9,9,9,17,18,9,9,9,9
1,1,1,1,1,1,7,7,12,16,16,11,7,7,12,12,16,12
7,7,7,7,7,7,1,1,1,7,7,7,1,1,1,7,7,7
5,5,1,5,5,5,5,1,1,1,15,15,5,5,5,5,15,15
1,1,8,1,8,1,1,8,8,8,8,8,1,1,8,8,8,8
11,11,11,11,11,11,11,11,4,4,10,7,1,6,1,1,9,7
1,1,8,1,1,1,1,1,9,9,9,9,15,14,15,15,15,9
17,1,17,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1
1,10,10,10,10,10,1,1,1,10,1,10,1,1,1,10,1,10
11,8,11,8,8,2,2,2,11,2,11,2,1,18,11,11,11,2
8,8,7,11,11,17,1,1,1,14,11,17,10,1,1,14,1,16
6,13,6,13,6,13,2,3,4,10,10,10,5,1,9,16,18,17
11,11,1,11,16,11,9,9,1,6,18,6,1,1,1,6,11,17
1,1,1,1,1,1,17,17,1,1,1,1,1,1,1,1,1,1
2,9,2,9,2,9,6,1,18,9,2,9,6,6,16,9,16,9
11,5,11,5,13,5,1,1,17,14,15,8,4,1,18,8,15,8
1,1,7,1,7,1,7,7,14,14,18,14,1,1,11,14,11,11
1,1,1,1,1,1,17,17,1,1,1,1,16,1,1,1,1,1
7,7,7,7,7,7,3,3,7,7,7,7,1,1,5,7,5,7
1,1,13,1,16,1,13,13,16,1,16,1,1,1,1,1,1,1
4,1,4,1,4,1,4,4,14,14,11,14,10,9,11,17,11,17
11,11,11,11,11,9,11,18,3,3,8,3,11,9,1,1,3,3
1,1,13,1,18,1,1,1,15,1,15,1,1,1,13,1,15,1
1,1,8,1,8,1,1,8,8,8,8,8,1,1,8,8,8,8
1,1,18,1,17,1,1,8,8,8,8,8,1,1,8,8,8,8
7,11,7,11,18,1,7,7,14,3,14,6,1,3,13,3,17,16
13,1,1,1,13,9,16,16,1,1,1,1,16,12,1,9,15,9
1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1
5,12,5,12,7,12,1,1,7,12,7,12,1,7,1,12,7,12
5,2,5,2,5,2,5,5,10,13,15,13,18,1,16,10,16,10
5,8,5,8,11,8,1,1,12,12,7,12,1,4,12,12,12,12
3,3,7,3,18,3,16,16,1,12,1,12,8,8,12,10,12,10
1,10,3,10,3,10,17,17,7,10,6,10,3,2,8,10,8,10
11,14,12,14,14,14,1,1,10,1,14,1,1,1,1,1,12,1
4,11,8,11,8,11,4,4,1,8,18,14,2,2,7,14,14,14
1,1,1,1,1,1,7,7,10,11,13,11,13,7,13,13,13,13
6,6,6,6,6,6,18,17,1,6,6,6,15,15,1,1,1,1
12,12,1,1,1,1,17,17,1,1,1,1,1,1,1,12,12,12
6,6,6,6,6,6,1,1,6,6,6,6,1,1,5,6,6,6
1,13,13,13,13,13,1,1,1,13,1,1,1,1,1,1,1,1
8,1,8,8,8,1,8,8,8,1,1,1,8,8,8,1,8,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,7,7,10,1,1,1,12,13,11,13,1,7,13,13,13,13
4,11,4,11,4,11,1,1,4,11,4,11,4,1,4,11,11,11
1,7,1,7,1,7,1,1,1,7,7,7,7,7,7,7,7,7
16,9,16,10,16,10,7,7,10,1,10,15,5,5,1,1,10,4
10,2,10,2,1,2,2,7,8,13,17,13,9,6,12,13,18,13
5,5,5,5,5,5,3,3,5,5,5,5,1,1,5,5,5,5
1,1,5,8,8,1,6,6,8,8,8,1,17,18,13,13,13,13
1,1,9,9,9,9,1,1,1,1,1,1,17,18,13,13,13,13
15,9,1,9,15,9,1,7,1,9,17,1,7,1,14,9,17,1
2,4,1,4,2,4,15,15,4,4,4,4,15,15,4,4,4,4
5,12,5,12,16,12,3,3,7,12,11,9,1,1,7,17,10,17
1,12,1,12,1,12,10,10,1,12,1,12,6,6,6,12,6,12
1,1,1,10,10,10,1,1,9,10,10,10,7,1,18,10,7,10
8,1,8,8,8,1,8,8,8,1,1,1,8,8,8,1,8,1
1,16,1,16,1,16,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,4,4,4,1,1,4,4,4,4,3,4,4,4,4,4
1,16,1,16,1,16,14,14,1,1,13,1,1,1,1,1,1,1
3,16,3,16,14,16,1,1,5,13,5,14,5,10,5,11,5,11
1,1,1,1,1,1,16,16,1,1,1,1,16,1,1,1,1,1
1,8,1,8,1,8,1,1,8,8,8,8,1,1,8,8,8,8
5,5,5,5,5,5,17,17,11,11,11,11,1,1,3,11,3,11
8,3,8,3,10,3,1,1,15,11,15,11,6,7,15,11,15,11
16,6,16,6,18,6,1,2,12,10,12,9,4,5,14,10,14,3
1,1,9,1,9,1,1,1,9,9,9,9,1,1,9,9,9,9
8,1,8,1,8,1,8,8,8,1,8,1,8,8,8,1,8,1
8,11,8,11,11,11,1,1,7,11,8,11,1,1,1,11,1,11
1,1,1,1,10,1,1,1,11,11,11,11,1,1,11,11,11,11
1,11,1,11,11,11,1,1,1,11,8,11,1,8,1,11,8,11
12,10,12,10,12,15,7,9,8,1,15,18,5,5,1,1,15,4
10,1,10,1,10,1,6,6,10,10,10,10,9,4,4,10,8,10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,12,1,12,6,12,1,1,1,15,11,15,6,6,6,15,6,15
1,1,17,1,1,1,1,1,1,1,15,1,14,1,1,1,18,15
7,7,7,7,7,7,1,1,7,5,7,5,3,3,7,7,7,7
1,1,1,1,1,1,16,16,1,1,1,1,16,1,1,1,1,1
1,1,1,1,1,1,15,15,1,1,1,1,15,15,1,1,1,1
1,1,1,1,1,1,7,7,11,11,17,11,10,7,14,14,18,14
1,1,1,1,8,8,1,1,13,13,11,13,1,10,13,13,11,13
3,10,3,10,1,10,3,3,8,10,10,10,1,3,8,10,18,10
13,1,1,1,13,9,16,16,1,1,1,1,16,12,1,9,15,9
2,2,2,2,2,2,17,17,2,2,2,2,2,1,2,2,2,2
9,9,9,9,17,9,1,1,14,14,18,14,6,6,1,8,1,1
1,1,1,14,1,14,7,7,16,11,17,12,10,7,1,1,18,12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,12,1,12,1,12,12,12,1,12,1,1,1,1,1,1,1
5,1,5,1,1,1,8,8,11,13,13,13,10,7,11,13,18,13
4,1,4,1,4,1,7,7,9,9,9,9,17,9,17,9,9,9
3,3,3,3,3,3,1,1,3,3,3,3,17,17,3,3,3,3
8,1,8,1,8,1,1,1,15,8,15,8,1,1,15,8,15,8
1,1,1,1,1,1,1,1,10,10,10,10,1,10,10,10,10,10
8,8,8,8,8,8,16,16,1,5,8,8,18,1,1,1,5,5
1,1,1,1,1,1,1,1,11,11,11,11,10,1,11,11,11,11
1,1,1,1,10,10,7,5,5,10,10,10,7,9,10,10,10,10
1,1,1,1,1,1,16,16,1,1,1,1,18,15,1,1,1,1
1,1,1,1,1,1,7,7,11,13,17,17,10,9,11,13,13,13
1,1,1,1,1,1,15,15,1,1,1,1,18,15,1,1,1,1
1,1,1,1,1,1,16,16,1,1,1,1,16,1,1,1,1,1
1,1,1,1,1,1,17,17,1,1,1,1,15,15,1,1,1,1
15,15,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,7,7,11,11,14,14,9,10,13,16,17,17
1,2,4,4,4,4,15,14,4,4,4,4,17,17,12,12,3,16
11,11,9,11,11,11,16,16,1,1,1,1,16,10,1,1,1,1
8,8,8,8,8,8,1,1,6,6,17,14,5,3,14,14,18,3
1,4,1,1,5,6,7,7,17,17,15,11,9,10,16,14,12,12
11,11,11,11,11,11,5,5,7,7,7,7,18,17,1,1,1,1
7,7,7,7,7,7,3,3,7,7,7,7,1,1,5,5,7,7
6,4,6,8,8,8,1,1,11,11,11,11,3,5,11,11,11,11
11,11,15,15,15,15,1,1,5,5,13,13,3,3,7,7,7,7
1,1,1,1,1,1,1,1,1,1,11,11,18,11,11,11,11,11
1,1,1,1,1,1,17,17,1,1,1,1,15,16,1,1,1,1
1,1,3,3,3,3,15,15,3,3,3,3,18,17,3,3,3,3
1,9,1,9,16,9,1,1,1,9,16,9,1,1,1,9,16,9
1,1,1,1,1,1,14,14,16,1,1,1,1,1,16,1,16,1
1,8,1,8,1,8,1,1,16,8,8,8,7,1,16,8,16,8
5,12,5,12,12,12,1,1,5,1,16,1,10,10,16,5,16,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
